titles,summaries,terms,word_count,unique_word_count
Unsupervised Domain Adaptation in Semantic Segmentation via Orthogonal and Clustered Embeddings,"Deep learning frameworks allowed for a remarkable advancement in semantic
segmentation, but the data hungry nature of convolutional networks has rapidly
raised the demand for adaptation techniques able to transfer learned knowledge
from label-abundant domains to unlabeled ones. In this paper we propose an
effective Unsupervised Domain Adaptation (UDA) strategy, based on a feature
clustering method that captures the different semantic modes of the feature
distribution and groups features of the same class into tight and
well-separated clusters. Furthermore, we introduce two novel learning
objectives to enhance the discriminative clustering performance: an
orthogonality loss forces spaced out individual representations to be
orthogonal, while a sparsity loss reduces class-wise the number of active
feature channels. The joint effect of these modules is to regularize the
structure of the feature space. Extensive evaluations in the synthetic-to-real
scenario show that we achieve state-of-the-art performance.",['cs.CV'],149,110
GarNet: A Two-Stream Network for Fast and Accurate 3D Cloth Draping,"While Physics-Based Simulation (PBS) can accurately drape a 3D garment on a
3D body, it remains too costly for real-time applications, such as virtual
try-on. By contrast, inference in a deep network, requiring a single forward
pass, is much faster. Taking advantage of this, we propose a novel architecture
to fit a 3D garment template to a 3D body. Specifically, we build upon the
recent progress in 3D point cloud processing with deep networks to extract
garment features at varying levels of detail, including point-wise, patch-wise
and global features. We fuse these features with those extracted in parallel
from the 3D body, so as to model the cloth-body interactions. The resulting
two-stream architecture, which we call as GarNet, is trained using a loss
function inspired by physics-based modeling, and delivers visually plausible
garment shapes whose 3D points are, on average, less than 1 cm away from those
of a PBS method, while running 100 times faster. Moreover, the proposed method
can model various garment types with different cutting patterns when parameters
of those patterns are given as input to the network.",['cs.CV'],189,127
Score-Guided Generative Adversarial Networks,"We propose a Generative Adversarial Network (GAN) that introduces an
evaluator module using pre-trained networks. The proposed model, called
score-guided GAN (ScoreGAN), is trained with an evaluation metric for GANs,
i.e., the Inception score, as a rough guide for the training of the generator.
By using another pre-trained network instead of the Inception network, ScoreGAN
circumvents the overfitting of the Inception network in order that generated
samples do not correspond to adversarial examples of the Inception network.
Also, to prevent the overfitting, the evaluation metrics are employed only as
an auxiliary role, while the conventional target of GANs is mainly used.
Evaluated with the CIFAR-10 dataset, ScoreGAN demonstrated an Inception score
of 10.36$\pm$0.15, which corresponds to state-of-the-art performance.
Furthermore, to generalize the effectiveness of ScoreGAN, the model was further
evaluated with another dataset, i.e., the CIFAR-100; as a result, ScoreGAN
outperformed the other existing methods, where the Fr\'echet Inception Distance
(FID) was 13.98.","['cs.LG', 'cs.CV', 'eess.IV']",169,101
Underestimation Bias and Underfitting in Machine Learning,"Often, what is termed algorithmic bias in machine learning will be due to
historic bias in the training data. But sometimes the bias may be introduced
(or at least exacerbated) by the algorithm itself. The ways in which algorithms
can actually accentuate bias has not received a lot of attention with
researchers focusing directly on methods to eliminate bias - no matter the
source. In this paper we report on initial research to understand the factors
that contribute to bias in classification algorithms. We believe this is
important because underestimation bias is inextricably tied to regularization,
i.e. measures to address overfitting can accentuate bias.","['cs.LG', 'stat.ML']",104,77
Learning Topology from Synthetic Data for Unsupervised Depth Completion,"We present a method for inferring dense depth maps from images and sparse
depth measurements by leveraging synthetic data to learn the association of
sparse point clouds with dense natural shapes, and using the image as evidence
to validate the predicted depth map. Our learned prior for natural shapes uses
only sparse depth as input, not images, so the method is not affected by the
covariate shift when attempting to transfer learned models from synthetic data
to real ones. This allows us to use abundant synthetic data with ground truth
to learn the most difficult component of the reconstruction process, which is
topology estimation, and use the image to refine the prediction based on
photometric evidence. Our approach uses fewer parameters than previous methods,
yet, achieves the state of the art on both indoor and outdoor benchmark
datasets. Code available at:
https://github.com/alexklwong/learning-topology-synthetic-data.","['cs.CV', 'cs.LG', 'cs.RO']",149,96
Learning Functionally Decomposed Hierarchies for Continuous Control Tasks with Path Planning,"We present HiDe, a novel hierarchical reinforcement learning architecture
that successfully solves long horizon control tasks and generalizes to unseen
test scenarios. Functional decomposition between planning and low-level control
is achieved by explicitly separating the state-action spaces across the
hierarchy, which allows the integration of task-relevant knowledge per layer.
We propose an RL-based planner to efficiently leverage the information in the
planning layer of the hierarchy, while the control layer learns a
goal-conditioned control policy. The hierarchy is trained jointly but allows
for the composition of different policies such as transferring layers across
multiple agents. We experimentally show that our method generalizes across
unseen test environments and can scale to tasks well beyond 3x horizon length
compared to both learning and non-learning based approaches. We evaluate on
complex continuous control tasks with sparse rewards, including navigation and
robot manipulation.","['cs.LG', 'cs.AI', 'cs.RO', 'stat.ML']",145,102
Answerer in Questioner's Mind: Information Theoretic Approach to Goal-Oriented Visual Dialog,"Goal-oriented dialog has been given attention due to its numerous
applications in artificial intelligence. Goal-oriented dialogue tasks occur
when a questioner asks an action-oriented question and an answerer responds
with the intent of letting the questioner know a correct action to take. To ask
the adequate question, deep learning and reinforcement learning have been
recently applied. However, these approaches struggle to find a competent
recurrent neural questioner, owing to the complexity of learning a series of
sentences. Motivated by theory of mind, we propose ""Answerer in Questioner's
Mind"" (AQM), a novel information theoretic algorithm for goal-oriented dialog.
With AQM, a questioner asks and infers based on an approximated probabilistic
model of the answerer. The questioner figures out the answerer's intention via
selecting a plausible question by explicitly calculating the information gain
of the candidate intentions and possible answers to each question. We test our
framework on two goal-oriented visual dialog tasks: ""MNIST Counting Dialog"" and
""GuessWhat?!"". In our experiments, AQM outperforms comparative algorithms by a
large margin.","['cs.CV', 'cs.AI', 'cs.CL', 'cs.LG']",174,113
Depth Estimation on Underwater Omni-directional Images Using a Deep Neural Network,"In this work, we exploit a depth estimation Fully Convolutional Residual
Neural Network (FCRN) for in-air perspective images to estimate the depth of
underwater perspective and omni-directional images. We train one conventional
and one spherical FCRN for underwater perspective and omni-directional images,
respectively. The spherical FCRN is derived from the perspective FCRN via a
spherical longitude-latitude mapping. For that, the omni-directional camera is
modeled as a sphere, while images captured by it are displayed in the
longitude-latitude form. Due to the lack of underwater datasets, we synthesize
images in both data-driven and theoretical ways, which are used in training and
testing. Finally, experiments are conducted on these synthetic images and
results are displayed in both qualitative and quantitative way. The comparison
between ground truth and the estimated depth map indicates the effectiveness of
our method.",['cs.CV'],142,87
When are Deep Networks really better than Random Forests at small sample sizes?,"Random forests (RF) and deep networks (DN) are two of the most popular
machine learning methods in the current scientific literature and yield
differing levels of performance on different data modalities. We wish to
further explore and establish the conditions and domains in which each approach
excels, particularly in the context of sample size and feature dimension. To
address these issues, we tested the performance of these approaches across
tabular, image, and audio settings using varying model parameters and
architectures. Our focus is on datasets with at most 10,000 samples, which
represent a large fraction of scientific and biomedical datasets. In general,
we found RF to excel at tabular and structured data (image and audio) with
small sample sizes, whereas DN performed better on structured data with larger
sample sizes. Although we plan to continue updating this technical report in
the coming months, we believe the current preliminary results may be of
interest to others.","['cs.LG', 'cs.AI']",156,104
Face Identification by SIFT-based Complete Graph Topology,"This paper presents a new face identification system based on Graph Matching
Technique on SIFT features extracted from face images. Although SIFT features
have been successfully used for general object detection and recognition, only
recently they were applied to face recognition. This paper further investigates
the performance of identification techniques based on Graph matching topology
drawn on SIFT features which are invariant to rotation, scaling and
translation. Face projections on images, represented by a graph, can be matched
onto new images by maximizing a similarity function taking into account spatial
distortions and the similarities of the local features. Two graph based
matching techniques have been investigated to deal with false pair assignment
and reducing the number of features to find the optimal feature set between
database and query face SIFT features. The experimental results, performed on
the BANCA database, demonstrate the effectiveness of the proposed system for
automatic face identification.","['cs.CV', 'cs.AI', 'D.2.2; I.2.10']",150,94
Tsallis-INF: An Optimal Algorithm for Stochastic and Adversarial Bandits,"We derive an algorithm that achieves the optimal (within constants)
pseudo-regret in both adversarial and stochastic multi-armed bandits without
prior knowledge of the regime and time horizon. The algorithm is based on
online mirror descent (OMD) with Tsallis entropy regularization with power
$\alpha=1/2$ and reduced-variance loss estimators. More generally, we define an
adversarial regime with a self-bounding constraint, which includes stochastic
regime, stochastically constrained adversarial regime (Wei and Luo), and
stochastic regime with adversarial corruptions (Lykouris et al.) as special
cases, and show that the algorithm achieves logarithmic regret guarantee in
this regime and all of its special cases simultaneously with the adversarial
regret guarantee.} The algorithm also achieves adversarial and stochastic
optimality in the utility-based dueling bandit setting. We provide empirical
evaluation of the algorithm demonstrating that it significantly outperforms
UCB1 and EXP3 in stochastic environments. We also provide examples of
adversarial environments, where UCB1 and Thompson Sampling exhibit almost
linear regret, whereas our algorithm suffers only logarithmic regret. To the
best of our knowledge, this is the first example demonstrating vulnerability of
Thompson Sampling in adversarial environments. Last, but not least, we present
a general stochastic analysis and a general adversarial analysis of OMD
algorithms with Tsallis entropy regularization for $\alpha\in[0,1]$ and explain
the reason why $\alpha=1/2$ works best.","['cs.LG', 'stat.ML']",223,121
Multi-Instance Learning by Utilizing Structural Relationship among Instances,"Multi-Instance Learning(MIL) aims to learn the mapping between a bag of
instances and the bag-level label. Therefore, the relationships among instances
are very important for learning the mapping. In this paper, we propose an MIL
algorithm based on a graph built by structural relationship among instances
within a bag. Then, Graph Convolutional Network(GCN) and the graph-attention
mechanism are used to learn bag-embedding. In the task of medical image
classification, our GCN-based MIL algorithm makes full use of the structural
relationships among patches(instances) in an original image space domain, and
experimental results verify that our method is more suitable for handling
medical high-resolution images. We also verify experimentally that the proposed
method achieves better results than previous methods on five bechmark MIL
datasets and four medical image datasets.","['cs.LG', 'cs.CV']",136,87
Dialog-based Interactive Image Retrieval,"Existing methods for interactive image retrieval have demonstrated the merit
of integrating user feedback, improving retrieval results. However, most
current systems rely on restricted forms of user feedback, such as binary
relevance responses, or feedback based on a fixed set of relative attributes,
which limits their impact. In this paper, we introduce a new approach to
interactive image search that enables users to provide feedback via natural
language, allowing for more natural and effective interaction. We formulate the
task of dialog-based interactive image retrieval as a reinforcement learning
problem, and reward the dialog system for improving the rank of the target
image during each dialog turn. To mitigate the cumbersome and costly process of
collecting human-machine conversations as the dialog system learns, we train
our system with a user simulator, which is itself trained to describe the
differences between target and candidate images. The efficacy of our approach
is demonstrated in a footwear retrieval application. Experiments on both
simulated and real-world data show that 1) our proposed learning framework
achieves better accuracy than other supervised and reinforcement learning
baselines and 2) user feedback based on natural language rather than
pre-specified attributes leads to more effective retrieval results, and a more
natural and expressive communication interface.","['cs.CV', 'cs.AI']",209,127
Event-LSTM: An Unsupervised and Asynchronous Learning-based Representation for Event-based Data,"Event cameras are activity-driven bio-inspired vision sensors, thereby
resulting in advantages such as sparsity,high temporal resolution, low latency,
and power consumption. Given the different sensing modality of event camera and
high quality of conventional vision paradigm, event processing is predominantly
solved by transforming the sparse and asynchronous events into 2D grid and
subsequently applying standard vision pipelines. Despite the promising results
displayed by supervised learning approaches in 2D grid generation, these
approaches treat the task in supervised manner. Labeled task specific ground
truth event data is challenging to acquire. To overcome this limitation, we
propose Event-LSTM, an unsupervised Auto-Encoder architecture made up of LSTM
layers as a promising alternative to learn 2D grid representation from event
sequence. Compared to competing supervised approaches, ours is a task-agnostic
approach ideally suited for the event domain, where task specific labeled data
is scarce. We also tailor the proposed solution to exploit asynchronous nature
of event stream, which gives it desirable charateristics such as speed
invariant and energy-efficient 2D grid generation. Besides, we also push
state-of-the-art event de-noising forward by introducing memory into the
de-noising process. Evaluations on activity recognition and gesture recognition
demonstrate that our approach yields improvement over state-of-the-art
approaches, while providing the flexibilty to learn from unlabelled data.",['cs.CV'],222,145
Depth-Aware Multi-Grid Deep Homography Estimation with Contextual Correlation,"Homography estimation is an important task in computer vision, such as image
stitching, video stabilization, and camera calibration. Traditional homography
estimation methods heavily depend on the quantity and distribution of feature
points, leading to poor robustness in textureless scenes. The learning
solutions, on the contrary, try to learn robust deep features but demonstrate
unsatisfying performance in the scenes of low overlap rates. In this paper, we
address the two problems simultaneously, by designing a contextual correlation
layer, which can capture the long-range correlation on feature maps and
flexibly be bridged in a learning framework. In addition, considering that a
single homography can not represent the complex spatial transformation in
depth-varying images with parallax, we propose to predict multi-grid homography
from global to local. Moreover, we equip our network with depth perception
capability, by introducing a novel depth-aware shape-preserved loss. Extensive
experiments demonstrate the superiority of our method over other
state-of-the-art solutions in the synthetic benchmark dataset and real-world
dataset. The codes and models will be available at
https://github.com/nie-lang/Multi-Grid-Deep-Homogarphy.","['cs.CV', 'cs.AI']",185,136
Creating Lightweight Object Detectors with Model Compression for Deployment on Edge Devices,"To achieve lightweight object detectors for deployment on the edge devices,
an effective model compression pipeline is proposed in this paper. The
compression pipeline consists of automatic channel pruning for the backbone,
fixed channel deletion for the branch layers and knowledge distillation for the
guidance learning. As results, the Resnet50-v1d is auto-pruned and fine-tuned
on ImageNet to attain a compact base model as the backbone of object detector.
Then, lightweight object detectors are implemented with proposed compression
pipeline. For instance, the SSD-300 with model size=16.3MB, FLOPS=2.31G, and
mAP=71.2 is created, revealing a better result than SSD-300-MobileNet.","['cs.CV', 'eess.IV']",108,75
Approximate Newton-based statistical inference using only stochastic gradients,"We present a novel statistical inference framework for convex empirical risk
minimization, using approximate stochastic Newton steps. The proposed algorithm
is based on the notion of finite differences and allows the approximation of a
Hessian-vector product from first-order information. In theory, our method
efficiently computes the statistical error covariance in $M$-estimation, both
for unregularized convex learning problems and high-dimensional LASSO
regression, without using exact second order information, or resampling the
entire data set. We also present a stochastic gradient sampling scheme for
statistical inference in non-i.i.d. time series analysis, where we sample
contiguous blocks of indices. In practice, we demonstrate the effectiveness of
our framework on large-scale machine learning problems, that go even beyond
convexity: as a highlight, our work can be used to detect certain adversarial
attacks on neural networks.","['cs.LG', 'cs.CV', 'math.OC', 'math.ST', 'stat.ML', 'stat.TH']",139,105
Graph Learning: A Survey,"Graphs are widely used as a popular representation of the network structure
of connected data. Graph data can be found in a broad spectrum of application
domains such as social systems, ecosystems, biological networks, knowledge
graphs, and information systems. With the continuous penetration of artificial
intelligence technologies, graph learning (i.e., machine learning on graphs) is
gaining attention from both researchers and practitioners. Graph learning
proves effective for many tasks, such as classification, link prediction, and
matching. Generally, graph learning methods extract relevant features of graphs
by taking advantage of machine learning algorithms. In this survey, we present
a comprehensive overview on the state-of-the-art of graph learning. Special
attention is paid to four categories of existing graph learning methods,
including graph signal processing, matrix factorization, random walk, and deep
learning. Major models and algorithms under these categories are reviewed
respectively. We examine graph learning applications in areas such as text,
images, science, knowledge graphs, and combinatorial optimization. In addition,
we discuss several promising research directions in this field.","['cs.LG', 'cs.AI', 'cs.SI', '68T07', 'I.2.6']",171,115
Multi-modal Ensemble Classification for Generalized Zero Shot Learning,"Generalized zero shot learning (GZSL) is defined by a training process
containing a set of visual samples from seen classes and a set of semantic
samples from seen and unseen classes, while the testing process consists of the
classification of visual samples from seen and unseen classes. Current
approaches are based on testing processes that focus on only one of the
modalities (visual or semantic), even when the training uses both modalities
(mostly for regularizing the training process). This under-utilization of
modalities, particularly during testing, can hinder the classification accuracy
of the method. In addition, we note a scarce attention to the development of
learning methods that explicitly optimize a balanced performance of seen and
unseen classes. Such issue is one of the reasons behind the vastly superior
classification accuracy of seen classes in GZSL methods. In this paper, we
mitigate these issues by proposing a new GZSL method based on multi-modal
training and testing processes, where the optimization explicitly promotes a
balanced classification accuracy between seen and unseen classes. Furthermore,
we explore Bayesian inference for the visual and semantic classifiers, which is
another novelty of our work in the GZSL framework. Experiments show that our
method holds the state of the art (SOTA) results in terms of harmonic mean
(H-mean) classification between seen and unseen classes and area under the seen
and unseen curve (AUSUC) on several public GZSL benchmarks.",['cs.CV'],234,116
An Unsupervised Approach to Solving Inverse Problems using Generative Adversarial Networks,"Solving inverse problems continues to be a challenge in a wide array of
applications ranging from deblurring, image inpainting, source separation etc.
Most existing techniques solve such inverse problems by either explicitly or
implicitly finding the inverse of the model. The former class of techniques
require explicit knowledge of the measurement process which can be unrealistic,
and rely on strong analytical regularizers to constrain the solution space,
which often do not generalize well. The latter approaches have had remarkable
success in part due to deep learning, but require a large collection of
source-observation pairs, which can be prohibitively expensive. In this paper,
we propose an unsupervised technique to solve inverse problems with generative
adversarial networks (GANs). Using a pre-trained GAN in the space of source
signals, we show that one can reliably recover solutions to under determined
problems in a `blind' fashion, i.e., without knowledge of the measurement
process. We solve this by making successive estimates on the model and the
solution in an iterative fashion. We show promising results in three
challenging applications -- blind source separation, image deblurring, and
recovering an image from its edge map, and perform better than several
baselines.","['cs.CV', 'stat.ML']",196,125
Ground Metric Learning on Graphs,"Optimal transport (OT) distances between probability distributions are
parameterized by the ground metric they use between observations. Their
relevance for real-life applications strongly hinges on whether that ground
metric parameter is suitably chosen. Selecting it adaptively and
algorithmically from prior knowledge, the so-called ground metric learning GML)
problem, has therefore appeared in various settings. We consider it in this
paper when the learned metric is constrained to be a geodesic distance on a
graph that supports the measures of interest. This imposes a rich structure for
candidate metrics, but also enables far more efficient learning procedures when
compared to a direct optimization over the space of all metric matrices. We use
this setting to tackle an inverse problem stemming from the observation of a
density evolving with time: we seek a graph ground metric such that the OT
interpolation between the starting and ending densities that result from that
ground metric agrees with the observed evolution. This OT dynamic framework is
relevant to model natural phenomena exhibiting displacements of mass, such as
for instance the evolution of the color palette induced by the modification of
lighting and materials.","['stat.ML', 'cs.GR', 'cs.LG', 'math.OC']",190,125
Contraband Materials Detection Within Volumetric 3D Computed Tomography Baggage Security Screening Imagery,"Automatic prohibited object detection within 2D/3D X-ray Computed Tomography
(CT) has been studied in literature to enhance the aviation security screening
at checkpoints. Deep Convolutional Neural Networks (CNN) have demonstrated
superior performance in 2D X-ray imagery. However, there exists very limited
proof of how deep neural networks perform in materials detection within
volumetric 3D CT baggage screening imagery. We attempt to close this gap by
applying Deep Neural Networks in 3D contraband substance detection based on
their material signatures. Specifically, we formulate it as a 3D semantic
segmentation problem to identify material types for all voxels based on which
contraband materials can be detected. To this end, we firstly investigate 3D
CNN based semantic segmentation algorithms such as 3D U-Net and its variants.
In contrast to the original dense representation form of volumetric 3D CT data,
we propose to convert the CT volumes into sparse point clouds which allows the
use of point cloud processing approaches such as PointNet++ towards more
efficient processing. Experimental results on a publicly available dataset (NEU
ATR) demonstrate the effectiveness of both 3D U-Net and PointNet++ in materials
detection in 3D CT imagery for baggage security screening.","['cs.CV', 'cs.LG', 'eess.IV']",197,126
Detecting Overfitting of Deep Generative Networks via Latent Recovery,"State of the art deep generative networks are capable of producing images
with such incredible realism that they can be suspected of memorizing training
images. It is why it is not uncommon to include visualizations of training set
nearest neighbors, to suggest generated images are not simply memorized. We
demonstrate this is not sufficient and motivates the need to study
memorization/overfitting of deep generators with more scrutiny. This paper
addresses this question by i) showing how simple losses are highly effective at
reconstructing images for deep generators ii) analyzing the statistics of
reconstruction errors when reconstructing training and validation images, which
is the standard way to analyze overfitting in machine learning. Using this
methodology, this paper shows that overfitting is not detectable in the pure
GAN models proposed in the literature, in contrast with those using hybrid
adversarial losses, which are amongst the most widely applied generative
methods. The paper also shows that standard GAN evaluation metrics fail to
capture memorization for some deep generators. Finally, the paper also shows
how off-the-shelf GAN generators can be successfully applied to face inpainting
and face super-resolution using the proposed reconstruction method, without
hybrid adversarial losses.","['cs.LG', 'stat.ML']",197,116
SaccadeCam: Adaptive Visual Attention for Monocular Depth Sensing,"Most monocular depth sensing methods use conventionally captured images that
are created without considering scene content. In contrast, animal eyes have
fast mechanical motions, called saccades, that control how the scene is imaged
by the fovea, where resolution is highest. In this paper, we present the
SaccadeCam framework for adaptively distributing resolution onto regions of
interest in the scene. Our algorithm for adaptive resolution is a
self-supervised network and we demonstrate results for end-to-end learning for
monocular depth estimation. We also show preliminary results with a real
SaccadeCam hardware prototype.",['cs.CV'],93,72
A Hierarchical Approach for Visual Storytelling Using Image Description,"One of the primary challenges of visual storytelling is developing techniques
that can maintain the context of the story over long event sequences to
generate human-like stories. In this paper, we propose a hierarchical deep
learning architecture based on encoder-decoder networks to address this
problem. To better help our network maintain this context while also generating
long and diverse sentences, we incorporate natural language image descriptions
along with the images themselves to generate each story sentence. We evaluate
our system on the Visual Storytelling (VIST) dataset and show that our method
outperforms state-of-the-art techniques on a suite of different automatic
evaluation metrics. The empirical results from this evaluation demonstrate the
necessities of different components of our proposed architecture and shows the
effectiveness of the architecture for visual storytelling.","['cs.CV', 'cs.CL', 'cs.LG', 'stat.ML']",133,91
Bag of Color Features For Color Constancy,"In this paper, we propose a novel color constancy approach, called Bag of
Color Features (BoCF), building upon Bag-of-Features pooling. The proposed
method substantially reduces the number of parameters needed for illumination
estimation. At the same time, the proposed method is consistent with the color
constancy assumption stating that global spatial information is not relevant
for illumination estimation and local information ( edges, etc.) is sufficient.
Furthermore, BoCF is consistent with color constancy statistical approaches and
can be interpreted as a learning-based generalization of many statistical
approaches. To further improve the illumination estimation accuracy, we propose
a novel attention mechanism for the BoCF model with two variants based on
self-attention. BoCF approach and its variants achieve competitive, compared to
the state of the art, results while requiring much fewer parameters on three
benchmark datasets: ColorChecker RECommended, INTEL-TUT version 2, and NUS8.",['cs.CV'],145,94
A low discrepancy sequence on graphs,"Many applications such as election forecasting, environmental monitoring,
health policy, and graph based machine learning require taking expectation of
functions defined on the vertices of a graph. We describe a construction of a
sampling scheme analogous to the so called Leja points in complex potential
theory that can be proved to give low discrepancy estimates for the
approximation of the expected value by the impirical expected value based on
these points. In contrast to classical potential theory where the kernel is
fixed and the equilibrium distribution depends upon the kernel, we fix a
probability distribution and construct a kernel (which represents the graph
structure) for which the equilibrium distribution is the given probability
distribution. Our estimates do not depend upon the size of the graph.","['cs.LG', 'math.PR']",125,79
Hierarchical Graph Capsule Network,"Graph Neural Networks (GNNs) draw their strength from explicitly modeling the
topological information of structured data. However, existing GNNs suffer from
limited capability in capturing the hierarchical graph representation which
plays an important role in graph classification. In this paper, we innovatively
propose hierarchical graph capsule network (HGCN) that can jointly learn node
embeddings and extract graph hierarchies. Specifically, disentangled graph
capsules are established by identifying heterogeneous factors underlying each
node, such that their instantiation parameters represent different properties
of the same entity. To learn the hierarchical representation, HGCN
characterizes the part-whole relationship between lower-level capsules (part)
and higher-level capsules (whole) by explicitly considering the structure
information among the parts. Experimental studies demonstrate the effectiveness
of HGCN and the contribution of each component.","['cs.LG', 'cs.SI']",126,88
Learning from Irregularly-Sampled Time Series: A Missing Data Perspective,"Irregularly-sampled time series occur in many domains including healthcare.
They can be challenging to model because they do not naturally yield a
fixed-dimensional representation as required by many standard machine learning
models. In this paper, we consider irregular sampling from the perspective of
missing data. We model observed irregularly-sampled time series data as a
sequence of index-value pairs sampled from a continuous but unobserved
function. We introduce an encoder-decoder framework for learning from such
generic indexed sequences. We propose learning methods for this framework based
on variational autoencoders and generative adversarial networks. For continuous
irregularly-sampled time series, we introduce continuous convolutional layers
that can efficiently interface with existing neural network architectures.
Experiments show that our models are able to achieve competitive or better
classification results on irregularly-sampled multivariate time series compared
to recent RNN models while offering significantly faster training times.","['cs.LG', 'stat.ML']",148,109
StackGAN: Facial Image Generation Optimizations,"Current state-of-the-art photorealistic generators are computationally
expensive, involve unstable training processes, and have real and synthetic
distributions that are dissimilar in higher-dimensional spaces. To solve these
issues, we propose a variant of the StackGAN architecture. The new architecture
incorporates conditional generators to construct an image in many stages. In
our model, we generate grayscale facial images in two different stages: noise
to edges (stage one) and edges to grayscale (stage two). Our model is trained
with the CelebA facial image dataset and achieved a Fr\'echet Inception
Distance (FID) score of 73 for edge images and a score of 59 for grayscale
images generated using the synthetic edge images. Although our model achieved
subpar results in relation to state-of-the-art models, dropout layers could
reduce the overfitting in our conditional mapping. Additionally, since most
images can be broken down into important features, improvements to our model
can generalize to other datasets. Therefore, our model can potentially serve as
a superior alternative to traditional means of generating photorealistic
images.","['cs.CV', 'cs.LG', 'eess.IV']",174,111
An Efficient Quantitative Approach for Optimizing Convolutional Neural Networks,"With the increasing popularity of deep learning, Convolutional Neural
Networks (CNNs) have been widely applied in various domains, such as image
classification and object detection, and achieve stunning success in terms of
their high accuracy over the traditional statistical methods. To exploit the
potential of CNN models, a huge amount of research and industry efforts have
been devoted to optimizing CNNs. Among these endeavors, CNN architecture design
has attracted tremendous attention because of its great potential of improving
model accuracy or reducing model complexity. However, existing work either
introduces repeated training overhead in the search process or lacks an
interpretable metric to guide the design. To clear these hurdles, we propose
3D-Receptive Field (3DRF), an explainable and easy-to-compute metric, to
estimate the quality of a CNN architecture and guide the search process of
designs. To validate the effectiveness of 3DRF, we build a static optimizer to
improve the CNN architectures at both the stage level and the kernel level. Our
optimizer not only provides a clear and reproducible procedure but also
mitigates unnecessary training efforts in the architecture search process.
Extensive experiments and studies show that the models generated by our
optimizer can achieve up to 5.47% accuracy improvement and up to 65.38%
parameters deduction, compared with state-of-the-art CNN structures like
MobileNet and ResNet.","['cs.CV', 'cs.LG', 'eess.IV']",222,143
OctNet: Learning Deep 3D Representations at High Resolutions,"We present OctNet, a representation for deep learning with sparse 3D data. In
contrast to existing models, our representation enables 3D convolutional
networks which are both deep and high resolution. Towards this goal, we exploit
the sparsity in the input data to hierarchically partition the space using a
set of unbalanced octrees where each leaf node stores a pooled feature
representation. This allows to focus memory allocation and computation to the
relevant dense regions and enables deeper networks without compromising
resolution. We demonstrate the utility of our OctNet representation by
analyzing the impact of resolution on several 3D tasks including 3D object
classification, orientation estimation and point cloud labeling.",['cs.CV'],109,79
Dense Optical Flow based Change Detection Network Robust to Difference of Camera Viewpoints,"This paper presents a novel method for detecting scene changes from a pair of
images with a difference of camera viewpoints using a dense optical flow based
change detection network. In the case that camera poses of input images are
fixed or known, such as with surveillance and satellite cameras, the pixel
correspondence between the images captured at different times can be known.
Hence, it is possible to comparatively accurately detect scene changes between
the images by modeling the appearance of the scene. On the other hand, in case
of cameras mounted on a moving object, such as ground and aerial vehicles, we
must consider the spatial correspondence between the images captured at
different times. However, it can be difficult to accurately estimate the camera
pose or 3D model of a scene, owing to the scene changes or lack of imagery. To
solve this problem, we propose a change detection convolutional neural network
utilizing dense optical flow between input images to improve the robustness to
the difference between camera viewpoints. Our evaluation based on the panoramic
change detection dataset shows that the proposed method outperforms
state-of-the-art change detection algorithms.",['cs.CV'],192,106
Factorized Inference in Deep Markov Models for Incomplete Multimodal Time Series,"Integrating deep learning with latent state space models has the potential to
yield temporal models that are powerful, yet tractable and interpretable.
Unfortunately, current models are not designed to handle missing data or
multiple data modalities, which are both prevalent in real-world data. In this
work, we introduce a factorized inference method for Multimodal Deep Markov
Models (MDMMs), allowing us to filter and smooth in the presence of missing
data, while also performing uncertainty-aware multimodal fusion. We derive this
method by factorizing the posterior p(z|x) for non-linear state space models,
and develop a variational backward-forward algorithm for inference. Because our
method handles incompleteness over both time and modalities, it is capable of
interpolation, extrapolation, conditional generation, label prediction, and
weakly supervised learning of multimodal time series. We demonstrate these
capabilities on both synthetic and real-world multimodal data under high levels
of data deletion. Our method performs well even with more than 50% missing
data, and outperforms existing deep approaches to inference in latent time
series.","['cs.LG', 'cs.AI', 'cs.NE', 'stat.ML']",172,117
Neural Subgraph Isomorphism Counting,"In this paper, we study a new graph learning problem: learning to count
subgraph isomorphisms. Different from other traditional graph learning problems
such as node classification and link prediction, subgraph isomorphism counting
is NP-complete and requires more global inference to oversee the whole graph.
To make it scalable for large-scale graphs and patterns, we propose a learning
framework which augments different representation learning architectures and
iteratively attends pattern and target data graphs to memorize subgraph
isomorphisms for the global counting. We develop both small graphs (<= 1,024
subgraph isomorphisms in each) and large graphs (<= 4,096 subgraph isomorphisms
in each) sets to evaluate different models. A mutagenic compound dataset,
MUTAG, is also used to evaluate neural models and demonstrate the success of
transfer learning. While the learning based approach is inexact, we are able to
generalize to count large patterns and data graphs in linear time compared to
the exponential time of the original NP-complete problem. Experimental results
show that learning based subgraph isomorphism counting can speed up the
traditional algorithm, VF2, 10-1,000 times with acceptable errors. Domain
adaptation based on fine-tuning also shows the usefulness of our approach in
real-world applications.","['cs.LG', 'stat.ML']",199,123
